journal_name,journal_name_full_name
Biomed Eng Lett,Biomedical engineering letters
Global Health,Globalization and health
JMIR Mhealth Uhealth,JMIR mHealth and uHealth
Int J Circumpolar Health,International journal of circumpolar health
EMBO J,The EMBO journal
Nurs Outlook,Nursing outlook
Orphanet J Rare Dis,Orphanet journal of rare diseases
J Pers Disord,Journal of personality disorders
Ear Hear,Ear and hearing
Epidemiol Prev,Epidemiologia e prevenzione
BMJ Qual Saf,BMJ quality & safety
Dose Response,Dose-response
Epidemiol Health,Epidemiology and health
Int J Behav Nutr Phys Act,The international journal of behavioral nutrition and physical activity
Int J Audiol,International journal of audiology
J Physiol Biochem,Journal of physiology and biochemistry
Exp Gerontol,Experimental gerontology
Appetite,Appetite
Metabolism,Metabolism
IEEE Access,IEEE access
Curr Mol Pharmacol,Current molecular pharmacology
Ceska Gynekol,Ceska gynekologie
Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy
Biochim Biophys Acta Mol Cell Res,Biochimica et biophysica acta. Molecular cell research
Injury,Injury
G3 (Bethesda),G3
Infect Agent Cancer,Infectious agents and cancer
Indian J Public Health,Indian journal of public health
Glycobiology,Glycobiology
Indian J Med Paediatr Oncol,Indian journal of medical and paediatric oncology
Indian J Gastroenterol,Indian journal of gastroenterology
Immunopharmacol Immunotoxicol,Immunopharmacology and immunotoxicology
Fungal Syst Evol,Fungal systematics and evolution
Ann Vasc Surg,Annals of vascular surgery
Immunol Invest,Immunological investigations
Nanoscale,Nanoscale
Front Toxicol,Frontiers in toxicology
Front Pain Res (Lausanne),Frontiers in pain research
Front Med (Lausanne),Frontiers in medicine
ILAR J,ILAR journal
Biol Res,Biological research
Front Endocrinol (Lausanne),Frontiers in endocrinology
Scand J Immunol,Scandinavian journal of immunology
IEEE Trans Vis Comput Graph,IEEE transactions on visualization and computer graphics
Neurobiol Stress,Neurobiology of stress
IEEE Trans Nanobioscience,IEEE transactions on nanobioscience
Clin Drug Investig,Clinical drug investigation
IEEE Rev Biomed Eng,IEEE reviews in biomedical engineering
IEEE Pulse,IEEE pulse
Crit Rev Oncol Hematol,Critical reviews in oncology/hematology
Heart Rhythm,Heart rhythm
Stem Cell Rev Rep,Stem cell reviews and reports
Hum Vaccin Immunother,Human vaccines & immunotherapeutics
Hum Resour Health,Human resources for health
Hum Reprod Update,Human reproduction update
Hum Nat,Human nature
Hum Mutat,Human mutation
Reg Anesth Pain Med,Regional anesthesia and pain medicine
Braz J Infect Dis,The Brazilian journal of infectious diseases
Front Biosci (Landmark Ed),Frontiers in bioscience
Horm Res Paediatr,Hormone research in paediatrics
Ocul Surf,The ocular surface
Homo,Homo
Zool Res,Zoological research
Folia Morphol (Warsz),Folia morphologica
J Tradit Complement Med,Journal of traditional and complementary medicine
Histochem Cell Biol,Histochemistry and cell biology
Am J Trop Med Hyg,The American journal of tropical medicine and hygiene
Hippocampus,Hippocampus
Int Orthod,International orthodontics
Psychol Rep,Psychological reports
Obes Res Clin Pract,Obesity research & clinical practice
Pharmacogenomics J,The pharmacogenomics journal
Curr Opin Nephrol Hypertens,Current opinion in nephrology and hypertension
Hematol Oncol Clin North Am,Hematology/oncology clinics of North America
Helicobacter,Helicobacter
Beilstein J Org Chem,Beilstein journal of organic chemistry
Health Qual Life Outcomes,Health and quality of life outcomes
Health Promot Int,Health promotion international
Health Policy Plan,Health policy and planning
Immune Netw,Immune network
Health Phys,Health physics
Health Informatics J,Health informatics journal
Health Educ Behav,Health education & behavior
Int J Hematol,International journal of hematology
Gerodontology,Gerodontology
Am J Dermatopathol,The American Journal of dermatopathology
F1000Res,F1000Research
Harm Reduct J,Harm reduction journal
Reprod Sci,Reproductive sciences
JAMA Dermatol,JAMA dermatology
Kardiol Pol,Kardiologia polska
J Cachexia Sarcopenia Muscle,"Journal of cachexia, sarcopenia and muscle"
Chest,Chest
Afr Health Sci,African health sciences
Autism Res,Autism research
Gynecol Obstet Invest,Gynecologic and obstetric investigation
Front Artif Intell,Frontiers in artificial intelligence
Eye (Lond),Eye
Global Spine J,Global spine journal
J Dig Dis,Journal of digestive diseases
Glob Heart,Global heart
Salud Colect,Salud colectiva
BMC Immunol,BMC immunology
Exp Biol Med (Maywood),Experimental biology and medicine
Br J Neurosurg,British journal of neurosurgery
Int J Biostat,The international journal of biostatistics
J Health Care Poor Underserved,Journal of health care for the poor and underserved
Semin Diagn Pathol,Seminars in diagnostic pathology
Evol Bioinform Online,Evolutionary bioinformatics online
Eur J Surg Oncol,European journal of surgical oncology
Genome Biol Evol,Genome biology and evolution
Physiol Res,Physiological research
J Midwifery Womens Health,Journal of midwifery & women&  health
Cancer Inform,Cancer informatics
J Am Acad Orthop Surg Glob Res Rev,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews
J Reprod Immunol,Journal of reproductive immunology
Quant Imaging Med Surg,Quantitative imaging in medicine and surgery
Eur J Cardiothorac Surg,European journal of cardio-thoracic surgery
Genet Sel Evol,"Genetics, selection, evolution"
Genet Mol Res,Genetics and molecular research
Pediatr Hematol Oncol,Pediatric hematology and oncology
J Appl Gerontol,Journal of applied gerontology
J Glob Health,Journal of global health
Genes Brain Behav,"Genes, brain, and behavior"
Eur J Cancer Care (Engl),European journal of cancer care
Mycopathologia,Mycopathologia
Eur Arch Otorhinolaryngol,European archives of oto-rhino-laryngology
Gastrointest Endosc,Gastrointestinal endoscopy
Biofactors,BioFactors
Emerg Radiol,Emergency radiology
Front Surg,Frontiers in surgery
Eur J Med Chem,European journal of medicinal chemistry
Dev Biol,Developmental biology
Monaldi Arch Chest Dis,Monaldi archives for chest disease
Semin Oncol Nurs,Seminars in oncology nursing
Eur J Gastroenterol Hepatol,European journal of gastroenterology & hepatology
Am J Physiol Heart Circ Physiol,American journal of physiology. Heart and circulatory physiology
Biomed Phys Eng Express,Biomedical physics & engineering express
Environ Sci Pollut Res Int,Environmental science and pollution research international
NAR Genom Bioinform,NAR genomics and bioinformatics
Gait Posture,Gait & posture
Med Chem,Medicinal chemistry
Entropy (Basel),Entropy
Endocrinol Metab (Seoul),Endocrinology and metabolism
Pain Pract,Pain practice
Pain Physician,Pain physician
Funct Integr Genomics,Functional & integrative genomics
Alzheimers Dement,Alzheimer&  & dementia
Curr Opin Struct Biol,Current opinion in structural biology
Front Physiol,Frontiers in physiology
Endocr Regul,Endocrine regulations
Electron Physician,Electronic physician
Drug Res (Stuttg),Drug research
Drug Metab Pers Ther,Drug metabolism and personalized therapy
DNA Repair (Amst),DNA repair
Gesundheitswesen,Gesundheitswesen
Curr Gene Ther,Current gene therapy
Arterioscler Thromb Vasc Biol,"Arteriosclerosis, thrombosis, and vascular biology"
Diagnostics (Basel),Diagnostics
Circ Cardiovasc Imaging,Circulation. Cardiovascular imaging
Trends Parasitol,Trends in parasitology
Toxicol Lett,Toxicology letters
Head Face Med,Head & face medicine
Early Interv Psychiatry,Early intervention in psychiatry
Eur J Immunol,European journal of immunology
Brain Tumor Pathol,Brain tumor pathology
Eur Arch Psychiatry Clin Neurosci,European archives of psychiatry and clinical neuroscience
AIDS,AIDS
Horm Behav,Hormones and behavior
Dental Press J Orthod,Dental press journal of orthodontics
Dementia (London),Dementia
Database (Oxford),Database
J Inflamm Res,Journal of inflammation research
Cochrane Database Syst Rev,The Cochrane database of systematic reviews
Acta Neurol Belg,Acta neurologica Belgica
Rev Endocr Metab Disord,Reviews in endocrine & metabolic disorders
Transplantation,Transplantation
Front Integr Neurosci,Frontiers in integrative neuroscience
Surg Laparosc Endosc Percutan Tech,"Surgical laparoscopy, endoscopy & percutaneous techniques"
Chem Biol Interact,Chemico-biological interactions
Front Microbiol,Frontiers in microbiology
Front Behav Neurosci,Frontiers in behavioral neuroscience
Front Med,Frontiers of medicine
Infect Control Hosp Epidemiol,Infection control and hospital epidemiology
Curr Protoc Neurosci,Current protocols in neuroscience
Vector Borne Zoonotic Dis,Vector borne and zoonotic diseases
JACC Basic Transl Sci,JACC. Basic to translational science
Curr Protoc Mol Biol,Current protocols in molecular biology
Int J Ophthalmol,International journal of ophthalmology
Psychiatr Clin North Am,The Psychiatric clinics of North America
Curr Protoc Bioinformatics,Current protocols in bioinformatics
Biomed Environ Sci,Biomedical and environmental sciences
Curr Protoc,Current protocols
Semin Liver Dis,Seminars in liver disease
Curr Probl Dermatol,Current problems in dermatology
Curr Opin Anaesthesiol,Current opinion in anaesthesiology
Radiol Clin North Am,Radiologic clinics of North America
Brief Funct Genomics,Briefings in functional genomics
Curr Med Imaging Rev,Current medical imaging reviews
Curr Drug Discov Technol,Current drug discovery technologies
Curationis,Curationis
J Rural Health,The Journal of rural health
Arch Dermatol Res,Archives of dermatological research
Crit Rev Oncog,Critical reviews in oncogenesis
Biochemistry (Mosc),Biochemistry. Biokhimiia
Comput Assist Surg (Abingdon),Computer assisted surgery
Compend Contin Educ Dent,Compendium of continuing education in dentistry
Colomb Med (Cali),Colombia medica
J Neuroeng Rehabil,Journal of neuroengineering and rehabilitation
Diabetes,Diabetes
Front Robot AI,Frontiers in robotics and AI
Ophthalmologe,Die Ophthalmologie
Curr Opin HIV AIDS,Current opinion in HIV and AIDS
Clinics (Sao Paulo),Clinics
Toxicology,Toxicology
Epigenomes,Epigenomes
J Appl Biomech,Journal of applied biomechanics
World J Pediatr,World journal of pediatrics
Clin Sci (Lond),Clinical science
Am J Clin Exp Urol,American journal of clinical and experimental urology
Clin Pediatr (Phila),Clinical pediatrics
Orthop Clin North Am,The Orthopedic clinics of North America
Infect Genet Evol,"Infection, genetics and evolution"
Clin Oncol (R Coll Radiol),Clinical oncology
Sleep Breath,Sleep & breathing
Clin Endocrinol (Oxf),Clinical endocrinology
Clin Diabetes Endocrinol,Clinical diabetes and endocrinology
"Clin Biomech (Bristol, Avon)",Clinical biomechanics
Per Med,Personalized medicine
CJC Open,CJC open
Front Cell Neurosci,Frontiers in cellular neuroscience
Am J Med Sci,The American journal of the medical sciences
Health Res Policy Syst,Health research policy and systems
Chronic Stress (Thousand Oaks),Chronic stress
Eur J Intern Med,European journal of internal medicine
Chonnam Med J,Chonnam medical journal
Exp Mech,Experimental mechanics
Chin Med Sci J,Chinese medical sciences journal
Chin Med J (Engl),Chinese medical journal
Hand Clin,Hand clinics
Chin J Physiol,The Chinese journal of physiology
Crit Care Nurse,Critical care nurse
Crit Care Clin,Critical care clinics
Neurol Neuroimmunol Neuroinflamm,Neurology
Sex Dev,Sexual development
Keio J Med,The Keio journal of medicine
Foods,Foods
Food Sci Biotechnol,Food science and biotechnology
Food Res Int,Food research international
Folia Neuropathol,Folia neuropathologica
Channels (Austin),Channels
Cerebellum Ataxias,Cerebellum & ataxias
Cereb Circ Cogn Behav,Cerebral circulation - cognition and behavior
Cell Rep Methods,Cell reports methods
Korean J Parasitol,The Korean journal of parasitology
Bull World Health Organ,Bulletin of the World Health Organization
Cell Regen,Cell regeneration
Ther Clin Risk Manag,Therapeutics and clinical risk management
Eur Urol Open Sci,European urology open science
FEBS J,The FEBS journal
Dysphagia,Dysphagia
Cell Physiol Biochem,Cellular physiology and biochemistry
Spinal Cord Ser Cases,Spinal cord series and cases
Alzheimers Res Ther,Alzheimer&  research & therapy
Fam Pract,Family practice
Tumori,Tumori
Expert Rev Neurother,Expert review of neurotherapeutics
Expert Rev Med Devices,Expert review of medical devices
Expert Opin Ther Targets,Expert opinion on therapeutic targets
Expert Opin Emerg Drugs,Expert opinion on emerging drugs
Expert Opin Drug Saf,Expert opinion on drug safety
Lang Speech Hear Serv Sch,"Language, speech, and hearing services in schools"
J Hosp Palliat Nurs,Journal of hospice and palliative nursing
APMIS,APMIS
Plant Direct,Plant direct
Exp Hematol,Experimental hematology
APL Bioeng,APL bioengineering
DNA Res,DNA research
EXCLI J,EXCLI journal
Europace,Europace
EuroIntervention,EuroIntervention
Int Breastfeed J,International breastfeeding journal
Ann Thorac Surg,The Annals of thoracic surgery
Curr Alzheimer Res,Current Alzheimer research
Eur Radiol Exp,European radiology experimental
Allergy,Allergy
Biophys Rev,Biophysical reviews
Eur J Orthop Surg Traumatol,European journal of orthopaedic surgery & traumatology
Eur J Orthod,European journal of orthodontics
Placenta,Placenta
Nephron,Nephron
Eur J Gynaecol Oncol,European journal of gynaecological oncology
Eur J Gen Pract,The European journal of general practice
Eur J Dent Educ,European journal of dental education
J Mol Endocrinol,Journal of molecular endocrinology
Metabolites,Metabolites
Eur Heart J Acute Cardiovasc Care,European heart journal. Acute cardiovascular care
J Genet,Journal of genetics
J Bone Oncol,Journal of bone oncology
Eur Ann Allergy Clin Immunol,European annals of allergy and clinical immunology
Ethn Dis,Ethnicity & disease
Ethiop J Health Sci,Ethiopian journal of health sciences
Cell Oncol (Dordr),Cellular oncology
Lancet Respir Med,The Lancet. Respiratory medicine
Ann Palliat Med,Annals of palliative medicine
Epigenetics Chromatin,Epigenetics & chromatin
J Dent Educ,Journal of dental education
Epidemiol Serv Saude,Epidemiologia e servicos de saude
Epidemiol Psychiatr Sci,Epidemiology and psychiatric sciences
Environ Geochem Health,Environmental geochemistry and health
Environ Health Perspect,Environmental health perspectives
Transl Neurosci,Translational neuroscience
Phys Eng Sci Med,Physical and engineering sciences in medicine
Enferm Clin,Enfermeria clinica
Endosc Int Open,Endoscopy international open
Endocr Rev,Endocrine reviews
Endocr Pract,Endocrine practice
EMBO Mol Med,EMBO molecular medicine
Neurobiol Learn Mem,Neurobiology of learning and memory
Electromagn Biol Med,Electromagnetic biology and medicine
EJNMMI Phys,EJNMMI physics
3 Biotech,3 Biotech
Ecology,Ecology
Ecol Evol,Ecology and evolution
Ecol Appl,Ecological applications
Ecancermedicalscience,Ecancermedicalscience
Gastroenterol Clin North Am,Gastroenterology clinics of North America
Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology
Cell Mol Biol (Noisy-le-grand),Cellular and molecular biology
Brain Sci,Brain sciences
Cell Genom,Cell genomics
East Mediterr Health J,Eastern Mediterranean health journal
Card Electrophysiol Clin,Cardiac electrophysiology clinics
Cancers Head Neck,Cancers of the head & neck
Cancers (Basel),Cancers
Pain Rep,Pain reports
Acta Odontol Scand,Acta odontologica Scandinavica
JACS Au,JACS Au
Diseases,Diseases
Dis Mon,Disease-a-month
Am J Manag Care,The American journal of managed care
BMC Int Health Hum Rights,BMC international health and human rights
AIDS Behav,AIDS and behavior
Biol Proced Online,Biological procedures online
Eur Thyroid J,European thyroid journal
Cells Tissues Organs,"Cells, tissues, organs"
Curr Opin Neurol,Current opinion in neurology
Dis Esophagus,Diseases of the esophagus
Dig Surg,Digestive surgery
J Arthroplasty,The Journal of arthroplasty
Pharmaceutics,Pharmaceutics
Diagn Interv Imaging,Diagnostic and interventional imaging
Contemp Clin Trials,Contemporary clinical trials
Diabetes Metab Res Rev,Diabetes/metabolism research and reviews
Diabetes Educ,The Diabetes educator
Isr Med Assoc J,The Israel Medical Association journal
Dev Dyn,Developmental dynamics
MCN Am J Matern Child Nurs,MCN. The American journal of maternal child nursing
Dermatology,Dermatology
Depress Anxiety,Depression and anxiety
J Sex Med,The journal of sexual medicine
Horm Cancer,Hormones & cancer
Cytokine Growth Factor Rev,Cytokine & growth factor reviews
Cutis,Cutis
Curr Treat Options Oncol,Current treatment options in oncology
Curr Radiopharm,Current radiopharmaceuticals
Curr Radiol Rep,Current radiology reports
Curr Protein Pept Sci,Current protein & peptide science
Curr Probl Cancer,Current problems in cancer
Curr Opin Urol,Current opinion in urology
Curr Opin Psychiatry,Current opinion in psychiatry
Curr Opin Obstet Gynecol,Current opinion in obstetrics & gynecology
Clin Neuropathol,Clinical neuropathology
Curr Opin Neurobiol,Current opinion in neurobiology
Curr Oncol Rep,Current oncology reports
HNO,HNO
Food Chem,Food chemistry
Curr Cancer Drug Targets,Current cancer drug targets
Crit Rev Biotechnol,Critical reviews in biotechnology
Crit Rev Clin Lab Sci,Critical reviews in clinical laboratory sciences
Cranio,Cranio
CPT Pharmacometrics Syst Pharmacol,CPT
Clin Biochem,Clinical biochemistry
J Hist Neurosci,Journal of the history of the neurosciences
Conserv Biol,Conservation biology
Congenit Heart Dis,Congenital heart disease
IEEE Trans Neural Netw Learn Syst,IEEE transactions on neural networks and learning systems
J Am Med Dir Assoc,Journal of the American Medical Directors Association
Stat Appl Genet Mol Biol,Statistical applications in genetics and molecular biology
Mol Brain,Molecular brain
Biosci Biotechnol Biochem,"Bioscience, biotechnology, and biochemistry"
JAMA Ophthalmol,JAMA ophthalmology
Arch Pathol Lab Med,Archives of pathology & laboratory medicine
Naunyn Schmiedebergs Arch Pharmacol,Naunyn-Schmiedeberg&  archives of pharmacology
Complement Ther Clin Pract,Complementary therapies in clinical practice
Comp Biochem Physiol C Toxicol Pharmacol,Comparative biochemistry and physiology. Toxicology & pharmacology
Urol J,Urology journal
Cold Spring Harb Perspect Med,Cold Spring Harbor perspectives in medicine
Cogn Sci,Cognitive science
Codas,CoDAS
J Mammary Gland Biol Neoplasia,Journal of mammary gland biology and neoplasia
Clin Trials,Clinical trials
Clin Transl Sci,Clinical and translational science
Adv Cancer Res,Advances in cancer research
Cancer Treat Res Commun,Cancer treatment and research communications
Clin Ter,La Clinica terapeutica
Clin Spine Surg,Clinical spine surgery
Cancer Treat Res,Cancer treatment and research
Cancer Rep (Hoboken),Cancer reports
Clin Proteomics,Clinical proteomics
Clin Pharmacokinet,Clinical pharmacokinetics
Clin Otolaryngol,Clinical otolaryngology
Mil Med Res,Military Medical Research
Cancer Prev Res (Phila),Cancer prevention research
Clin Obes,Clinical obesity
Semin Arthritis Rheum,Seminars in arthritis and rheumatism
Curr Opin Chem Biol,Current opinion in chemical biology
Asian Spine J,Asian spine journal
Clin Infect Dis,Clinical infectious diseases
Clin Exp Metastasis,Clinical & experimental metastasis
J Physiol Pharmacol,Journal of physiology and pharmacology
Am J Clin Pathol,American journal of clinical pathology
Cancer Drug Resist,Cancer drug resistance
Cancer Diagn Progn,Cancer diagnosis & prognosis
Clin Child Psychol Psychiatry,Clinical child psychology and psychiatry
Methods Enzymol,Methods in enzymology
Cancer Commun (Lond),Cancer communications
Aliment Pharmacol Ther,Alimentary pharmacology & therapeutics
Bull Hosp Jt Dis (2013),Bulletin of the Hospital for Joint Disease
Brainlesion,Brainlesion
Brain Multiphys,Brain multiphysics
Brain Inform,Brain informatics
Circ J,Circulation journal
BMC Syst Biol,BMC systems biology
Eur Heart J Cardiovasc Imaging,European heart journal. Cardiovascular Imaging
Chin J Traumatol,Chinese journal of traumatology
Chin J Cancer,Chinese journal of cancer
Children (Basel),Children
Child Abuse Negl,Child abuse & neglect
Chemosphere,Chemosphere
BMC Prim Care,BMC primary care
BMC Dev Biol,BMC developmental biology
Prev Med,Preventive medicine
Braz J Biol,Brazilian journal of biology
BMC Dermatol,BMC dermatology
F S Sci,F&amp;S science
BJPsych Int,BJPsych international
Biospektrum (Heidelb),Biospektrum
J Phys Act Health,Journal of physical activity & health
bioRxiv,bioRxiv
Lung,Lung
Resuscitation,Resuscitation
Mutagenesis,Mutagenesis
Beijing Da Xue Xue Bao Yi Xue Ban,Beijing da xue xue bao. Yi xue ban
Pharmacology,Pharmacology
Int J Spine Surg,International journal of spine surgery
Int Emerg Nurs,International emergency nursing
Radiat Oncol J,Radiation oncology journal
Pediatr Pulmonol,Pediatric pulmonology
Adv Ther,Advances in therapy
Atlas Oral Maxillofac Surg Clin North Am,Atlas of the oral and maxillofacial surgery clinics of North America
Neuroimmunomodulation,Neuroimmunomodulation
Neuropediatrics,Neuropediatrics
Precis Clin Med,Precision clinical medicine
Acta Histochem,Acta histochemica
Glob Public Health,Global public health
J Pediatr Surg,Journal of pediatric surgery
Mol Biol Cell,Molecular biology of the cell
Neurorehabil Neural Repair,Neurorehabilitation and neural repair
Med Hist,Medical history
Am J Nephrol,American journal of nephrology
Evol Anthropol,Evolutionary anthropology
J Bioenerg Biomembr,Journal of bioenergetics and biomembranes
Biol Cell,Biology of the cell
Biochim Biophys Acta Gene Regul Mech,Biochimica et biophysica acta. Gene regulatory mechanisms
Anal Bioanal Chem,Analytical and bioanalytical chemistry
Transpl Int,Transplant international
J Leukoc Biol,Journal of leukocyte biology
J Oral Biosci,Journal of oral biosciences
Hepatol Res,Hepatology research
Eur J Med Res,European journal of medical research
J Racial Ethn Health Disparities,Journal of racial and ethnic health disparities
Curr Med Imaging,Current medical imaging
J Neuromuscul Dis,Journal of neuromuscular diseases
Cardiovasc Pathol,Cardiovascular pathology
Trials,Trials
Br J Sports Med,British journal of sports medicine
Surg Clin North Am,The Surgical clinics of North America
Arch Gynecol Obstet,Archives of gynecology and obstetrics
J R Soc Interface,"Journal of the Royal Society, Interface"
Biochem Mol Biol Educ,Biochemistry and molecular biology education
Braz J Cardiovasc Surg,Brazilian journal of cardiovascular surgery
J Speech Lang Hear Res,"Journal of speech, language, and hearing research"
Acc Chem Res,Accounts of chemical research
Toxicol Sci,Toxicological sciences
J Mol Histol,Journal of molecular histology
J Stud Alcohol Drugs,Journal of studies on alcohol and drugs
Med Care,Medical care
Bioinformation,Bioinformation
Biol Chem,Biological chemistry
Surv Ophthalmol,Survey of ophthalmology
Stem Cells,Stem cells
J AOAC Int,Journal of AOAC International
Int J Stroke,International journal of stroke
J Interv Card Electrophysiol,Journal of interventional cardiac electrophysiology
BMC Palliat Care,BMC palliative care
Rev Cardiovasc Med,Reviews in cardiovascular medicine
Expert Rev Anti Infect Ther,Expert review of anti-infective therapy
J Tissue Viability,Journal of tissue viability
Int Dent J,International dental journal
J Bronchology Interv Pulmonol,Journal of bronchology & interventional pulmonology
Genesis,Genesis
Gac Med Mex,Gaceta medica de Mexico
Brain Commun,Brain communications
Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention
Neurogenetics,Neurogenetics
Eur J Clin Microbiol Infect Dis,European journal of clinical microbiology & infectious diseases
Am J Hematol,American journal of hematology
Int J Implant Dent,International journal of implant dentistry
Asian Nurs Res (Korean Soc Nurs Sci),Asian nursing research
ArXiv,ArXiv
Biochimie,Biochimie
Arthritis Care Res (Hoboken),Arthritis care & research
Appl Biochem Biotechnol,Applied biochemistry and biotechnology
Bioinform Biol Insights,Bioinformatics and biology insights
Microb Genom,Microbial genomics
Drugs,Drugs
Virus Res,Virus research
Breast J,The breast journal
Arch Suicide Res,Archives of suicide research
Arq Neuropsiquiatr,Arquivos de neuro-psiquiatria
Arch Soc Esp Oftalmol,Archivos de la Sociedad Espanola de Oftalmologia
Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis
Appl Transl Genom,Applied & translational genomics
Antioxidants (Basel),Antioxidants
Anticancer Drugs,Anti-cancer drugs
Mutat Res,Mutation research
Appl Nurs Res,Applied nursing research
Can Assoc Radiol J,Canadian Association of Radiologists journal
Calcif Tissue Int,Calcified tissue international
CA Cancer J Clin,CA
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz"
Bull Math Biol,Bulletin of mathematical biology
Breastfeed Med,Breastfeeding medicine
J Biomed Nanotechnol,Journal of biomedical nanotechnology
Nephrol Dial Transplant,"Nephrology, dialysis, transplantation"
Anticancer Agents Med Chem,Anti-cancer agents in medicinal chemistry
Breast,Breast
Braz J Otorhinolaryngol,Brazilian journal of otorhinolaryngology
J Gastrointest Surg,Journal of gastrointestinal surgery
Annu Int Conf IEEE Eng Med Biol Soc,Annual International Conference of the IEEE Engineering in Medicine and Biology Society
Eur Neuropsychopharmacol,European neuropsychopharmacology
IBRO Rep,IBRO reports
Colorectal Dis,Colorectal disease
Phys Imaging Radiat Oncol,Physics and imaging in radiation oncology
Arch Med Res,Archives of medical research
Transl Vis Sci Technol,Translational vision science & technology
Curr Opin Cardiol,Current opinion in cardiology
Hernia,Hernia
Immunol Med,Immunological medicine
J Chin Med Assoc,Journal of the Chinese Medical Association
Redox Biol,Redox biology
Bone Marrow Transplant,Bone marrow transplantation
Bone Joint J,The bone & joint journal
Bone,Bone
BMJ Support Palliat Care,BMJ supportive & palliative care
Synapse,Synapse
J Patient Saf,Journal of patient safety
Prog Brain Res,Progress in brain research
BMJ Case Rep,BMJ case reports
BMC Vet Res,BMC veterinary research
Acad Pediatr,Academic pediatrics
Ann Hepatobiliary Pancreat Surg,Annals of hepato-biliary-pancreatic surgery
Ann Biol Clin (Paris),Annales de biologie clinique
Animals (Basel),Animals
Anim Cells Syst (Seoul),Animal cells and systems
Angew Chem Int Ed Engl,Angewandte Chemie
Andes Pediatr,Andes pediatrica
Nutr Rev,Nutrition reviews
BMC Neurosci,BMC neuroscience
Health Technol Assess,Health technology assessment
Fam Med Community Health,Family medicine and community health
BMC Microbiol,BMC microbiology
Inform Health Soc Care,Informatics for health & social care
Indian J Dermatol Venereol Leprol,"Indian journal of dermatology, venereology and leprology"
Anat Rec (Hoboken),Anatomical record
Curr Opin Crit Care,Current opinion in critical care
Antimicrob Resist Infect Control,Antimicrobial resistance and infection control
Clin Nutr ESPEN,Clinical nutrition ESPEN
Anal Cell Pathol (Amst),Analytical cellular pathology
AMIA Jt Summits Transl Sci Proc,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science
Kidney Blood Press Res,Kidney & blood pressure research
Am Soc Clin Oncol Educ Book,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting
Alzheimers Dement (Amst),Alzheimer & dementia
BMC Genet,BMC genetics
Exp Oncol,Experimental oncology
AJR Am J Roentgenol,AJR. American journal of roentgenology
BMC Emerg Med,BMC emergency medicine
BMC Cell Biol,BMC cell biology
AJOB Empir Bioeth,AJOB empirical bioethics
AJNR Am J Neuroradiol,AJNR. American journal of neuroradiology
J Biopharm Stat,Journal of biopharmaceutical statistics
J Tissue Eng,Journal of tissue engineering
J Pharm Pharmacol,The Journal of pharmacy and pharmacology
Braz Oral Res,Brazilian oral research
J Neurosci Res,Journal of neuroscience research
IEEE Trans Biomed Circuits Syst,IEEE transactions on biomedical circuits and systems
Front Nutr,Frontiers in nutrition
Neurotherapeutics,Neurotherapeutics
Addict Biol,Addiction biology
J Oral Maxillofac Surg,Journal of oral and maxillofacial surgery
Annu Rev Immunol,Annual review of immunology
Prion,Prion
Blood Cancer J,Blood cancer journal
Birth,Birth
Biotechnol Prog,Biotechnology progress
Biotechnol Lett,Biotechnology letters
Biosci Trends,Bioscience trends
Acad Med,Academic medicine
Air Med J,Air medical journal
Aging (Albany NY),Aging
Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica
Prog Mol Biol Transl Sci,Progress in molecular biology and translational science
Pulm Circ,Pulmonary circulation
Photodiagnosis Photodyn Ther,Photodiagnosis and photodynamic therapy
Biophys J,Biophysical journal
J Community Psychol,Journal of community psychology
Biochim Biophys Acta Mol Cell Biol Lipids,Biochimica et biophysica acta. Molecular and cell biology of lipids
J Clin Gastroenterol,Journal of clinical gastroenterology
Expert Rev Clin Pharmacol,Expert review of clinical pharmacology
Anthropol Anz,Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur
Acta Reumatol Port,Acta reumatologica portuguesa
Retina,Retina
J Psychosoc Oncol,Journal of psychosocial oncology
Plast Reconstr Surg,Plastic and reconstructive surgery
Neurospine,Neurospine
Gastroenterol Hepatol,Gastroenterologia y hepatologia
Biodivers Data J,Biodiversity data journal
Neurosci Biobehav Rev,Neuroscience and biobehavioral reviews
Int J Eat Disord,The International journal of eating disorders
Sex Health,Sexual health
Biol Reprod,Biology of reproduction
Microbes Infect,Microbes and infection
Biomed Rep,Biomedical reports
Chirurg,Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen
Nurs Res,Nursing research
Biomed Eng Comput Biol,Biomedical engineering and computational biology
Physiol Behav,Physiology & behavior
BMC Complement Med Ther,BMC complementary medicine and therapies
Neural Plast,Neural plasticity
